rank,title,authors,year,journal,doi,landing_url,pdf_url,pdf_host,publisher,type,language,relevance_score,relation_type,matched_queries,download_status,download_error,filename,text_path
32,DEEP NEURAL NETWORKS FOR SOCIAL VISUALS: STUDYING CLIMATE COMMUNICATION ON YOUTUBE,Matteo Magnani; Alexandra Segerberg,2021,AoIR Selected Papers of Internet Research,https://doi.org/10.5210/spir.v2021i0.12204,https://doi.org/10.5210/spir.v2021i0.12204,https://journals.uic.edu/ojs/index.php/spir/article/download/12204/10353,journals.uic.edu,,article,en,43,direct,yt_comm,downloaded,,"Matteo Magnani, & Alexandra Segerberg (2021). DEEP NEURAL NETWORKS FOR SOCIAL VISUALS - STUDYING CLIMATE COMMUNICATION ON YOUTUBE. AoIR Selected Papers of Internet Research.pdf","data\text\Matteo Magnani, & Alexandra Segerberg (2021). DEEP NEURAL NETWORKS FOR SOCIAL VISUALS - STUDYING CLIMATE COMMUNICATION ON YOUTUBE. AoIR Selected Papers of Internet Research.txt"
33,Potentials and Limitations of Educational Videos on YouTube for Science Communication,Sarah Kohler; Tabea Clara Dietrich,2021,Frontiers in Communication,https://doi.org/10.3389/fcomm.2021.581302,https://doi.org/10.3389/fcomm.2021.581302,https://www.frontiersin.org/articles/10.3389/fcomm.2021.581302/pdf,www.frontiersin.org,Frontiers Media,article,en,43,direct,direct_yt_climate; yt_comm,downloaded,,"Sarah Kohler, & Tabea Clara Dietrich (2021). Potentials and Limitations of Educational Videos on YouTube for Science Communication. Frontiers in Communication.pdf","data\text\Sarah Kohler, & Tabea Clara Dietrich (2021). Potentials and Limitations of Educational Videos on YouTube for Science Communication. Frontiers in Communication.txt"
34,Shaping climate change discourse: the nexus between political media landscape and recommendation systems in social networks,Yousef Sakieh,2023,Social Network Analysis and Mining,https://doi.org/10.1007/s13278-023-01175-9,https://doi.org/10.1007/s13278-023-01175-9,https://link.springer.com/content/pdf/10.1007/s13278-023-01175-9.pdf,link.springer.com,Springer Science+Business Media,article,en,43,direct,content_analysis; direct_yt_climate; social_media_discourse,downloaded,,Yousef Sakieh (2023). Shaping climate change discourse - the nexus between political media landscape and recommendation systems in social netw. Social Network Analysis and Mining.pdf,data\text\Yousef Sakieh (2023). Shaping climate change discourse - the nexus between political media landscape and recommendation systems in social netw. Social Network Analysis and Mining.txt
35,Negacionismo y desinformación climática en YouTube,David Vicente Torrico; Víctor González Puente,2023,Miguel Hernández Communication Journal,https://doi.org/10.21134/mhjournal.v14i.1812,https://doi.org/10.21134/mhjournal.v14i.1812,https://revistas.innovacionumh.es/index.php/mhcj/article/download/1812/1864,revistas.innovacionumh.es,,article,es,42,direct,direct_yt_climate; yt_denial,downloaded,,"David Vicente Torrico, & Víctor González Puente (2023). Negacionismo y desinformación climática en YouTube. Miguel Hernández Communication Journal.pdf","data\text\David Vicente Torrico, & Víctor González Puente (2023). Negacionismo y desinformación climática en YouTube. Miguel Hernández Communication Journal.txt"
36,From Denial to the Culture Wars: A Study of Climate Misinformation on YouTube,Lluis de Nadal,2024,Environmental Communication,https://doi.org/10.1080/17524032.2024.2363861,https://doi.org/10.1080/17524032.2024.2363861,https://www.tandfonline.com/doi/pdf/10.1080/17524032.2024.2363861?needAccess=true,www.tandfonline.com,Taylor & Francis,article,en,42,direct,direct_yt_climate; yt_denial; yt_misinfo,downloaded,,Lluis de Nadal (2024). From Denial to the Culture Wars - A Study of Climate Misinformation on YouTube. Environmental Communication.pdf,data\text\Lluis de Nadal (2024). From Denial to the Culture Wars - A Study of Climate Misinformation on YouTube. Environmental Communication.txt
37,Discussing climate change online. Topics and perceptions in online climate change communication in different online public arenas,Ines Lörcher; Monika Taddicken,2017,Journal of Science Communication,https://doi.org/10.22323/2.16020203,https://doi.org/10.22323/2.16020203,https://jcom.sissa.it/archive/16/02/JCOM_1602_2017_A03.pdf,jcom.sissa.it,Sissa Medialab,article,en,41,direct,social_media_comments; yt_denial; yt_skepticism,failed,Non-PDF response from https://doi.org/10.22323/2.16020203,"Ines Lörcher, & Monika Taddicken (2017). Discussing climate change online. Topics and perceptions in online climate change communication in different online publ. Journal of Science Communication.pdf",
38,"The social media life of climate change: Platforms, publics, and future imaginaries",Warren Pearce; Sabine Niederer; Suay Melisa Özkula; Natalia Sánchez-Querubín,2018,Wiley Interdisciplinary Reviews Climate Change,https://doi.org/10.1002/wcc.569,https://doi.org/10.1002/wcc.569,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wcc.569,onlinelibrary.wiley.com,Wiley,article,en,41,direct,audience_response; content_analysis; direct_yt_climate; direct_yt_comments; env_comm_video; korea; korean_social_media; social_media_polarization; yt_comm; yt_denial; yt_misinfo; yt_skepticism,failed,HTTP 403 from https://doi.org/10.1002/wcc.569,"Warren Pearce, et al (2018). The social media life of climate change - Platforms, publics, and future imaginaries. Wiley Interdisciplinary Reviews Climate Change.pdf",
39,Teacher Education for Sustainability in Network Society: Combining Digital and Sustainability Literacies,John Huckle,2012,Journal of Teacher Education for Sustainability,https://doi.org/10.2478/v10099-012-0013-9,https://doi.org/10.2478/v10099-012-0013-9,https://content.sciendo.com/downloadpdf/journals/jtes/14/2/article-p130.pdf,content.sciendo.com,De Gruyter,article,en,25,indirect,env_comm_video,downloaded,,John Huckle (2012). Teacher Education for Sustainability in Network Society - Combining Digital and Sustainability Literacies. Journal of Teacher Education for Sustainability.pdf,data\text\John Huckle (2012). Teacher Education for Sustainability in Network Society - Combining Digital and Sustainability Literacies. Journal of Teacher Education for Sustainability.txt
40,Evolución e impacto en la comunicación de valores responsables. Caso de estudio en España,Belén López Vázquez,2014,Historia y Comunicación Social,https://doi.org/10.5209/rev_hics.2014.v19.45152,https://doi.org/10.5209/rev_hics.2014.v19.45152,https://revistas.ucm.es/index.php/HICS/article/download/45152/42513,revistas.ucm.es,Servicio de Publicaciones,article,es,25,indirect,env_comm_video,downloaded,,Belén López Vázquez (2014). Evolución e impacto en la comunicación de valores responsables. Caso de estudio en España. Historia y Comunicación Social.pdf,data\text\Belén López Vázquez (2014). Evolución e impacto en la comunicación de valores responsables. Caso de estudio en España. Historia y Comunicación Social.txt
41,Using interpersonal communication strategies to encourage science conversations on social media,Curtis Martin; Bertrum H. MacDonald,2020,PLoS ONE,https://doi.org/10.1371/journal.pone.0241972,https://doi.org/10.1371/journal.pone.0241972,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0241972&type=printable,journals.plos.org,Public Library of Science,article,en,25,indirect,yt_denial,downloaded,,"Curtis Martin, & Bertrum H. MacDonald (2020). Using interpersonal communication strategies to encourage science conversations on social media. PLoS ONE.pdf","data\text\Curtis Martin, & Bertrum H. MacDonald (2020). Using interpersonal communication strategies to encourage science conversations on social media. PLoS ONE.txt"
